"Date","Product Price($)","Shipping Cost ($)","Total(Product & Shipping cost)","Convert It in AUD","GST","COGS","Column 1"
"06/01","$2,659.70","$4,793.86","$7,453.56","$10,369.39","$942.67","$9,426.72","$10,369.39"
"06/02","$2,112.80","$3,879.82","$5,992.62","$8,366.30","$760.57","$7,605.73","$8,366.30"
"06/03","$2,036.40","$3,851.71","$5,888.11","$8,219.21","$747.20","$7,472.01","$8,219.21"
"06/04","$1,818.20","$3,275.79","$5,093.99","$7,143.30","$649.39","$6,493.91","$7,143.30"
"06/05","$2,100.90","$3,847.90","$5,948.80","$8,353.90","$759.45","$7,594.45","$8,353.90"
"06/06","$2,210.30","$4,233.91","$6,444.21","$9,049.60","$822.69","$8,226.91","$9,049.60"
"06/07","$2,145.80","$3,992.24","$6,138.04","$8,619.65","$783.60","$7,836.05","$8,619.65"
"06/08","$2,555.90","$4,665.61","$7,221.51","$10,141.17","$921.92","$9,219.25","$10,141.17"
"06/09","$2,213.50","$4,122.04","$6,335.54","$8,976.19","$816.02","$8,160.17","$8,976.19"
"06/10","$2,197.90","$4,035.78","$6,233.68","$8,879.88","$807.26","$8,072.62","$8,879.88"
"06/11","$2,282.30","$4,207.49","$6,489.79","$9,260.28","$841.84","$8,418.44","$9,260.28"
"06/12","$3,048.00","$5,059.04","$8,107.04","$11,533.89","$1,048.54","$10,485.35","$11,533.89"
"06/13","$2,162.10","$4,050.05","$6,212.15","$8,838.03","$803.46","$8,034.57","$8,838.03"
"06/14","$2,759.40","$5,200.79","$7,960.19","$11,324.96","$1,029.54","$10,295.42","$11,324.96"
"06/15","$2,594.80","$4,772.61","$7,367.41","$10,404.26","$945.84","$9,458.42","$10,404.26"
"06/16","$1,796.60","$3,212.60","$5,009.20","$7,107.05","$646.10","$6,460.95","$7,107.05"
"06/17","$2,294.60","$4,177.91","$6,472.51","$9,168.96","$833.54","$8,335.42","$9,168.96"
"06/18","$2,352.30","$4,285.80","$6,638.10","$9,441.37","$858.31","$8,583.06","$9,441.37"
"06/19","$1,990.80","$3,605.00","$5,595.80","$7,988.56","$726.23","$7,262.33","$7,988.56"
"06/20","$2,567.40","$4,586.97","$7,154.37","$10,213.58","$928.51","$9,285.07","$10,213.58"
"06/21","$2,364.60","$4,336.95","$6,701.55","$9,567.13","$869.74","$8,697.39","$9,567.13"
"06/22","$2,547.80","$4,469.35","$7,017.15","$10,019.09","$910.83","$9,108.26","$10,019.09"
"06/23","$2,081.10","$3,705.60","$5,786.70","$8,309.70","$755.43","$7,554.27","$8,309.70"
"06/24","$1,919.30","$3,421.49","$5,340.79","$7,725.45","$702.31","$7,023.14","$7,725.45"
"06/25","$2,087.10","$3,766.26","$5,853.36","$8,493.23","$772.11","$7,721.12","$8,493.23"
"06/26","$2,254.70","$4,035.64","$6,290.34","$9,124.14","$829.47","$8,294.67","$9,124.14"
"06/27","$2,143.00","$3,855.88","$5,998.88","$8,701.38","$791.03","$7,910.35","$8,701.38"
"06/28","$2,480.44","$4,553.05","$7,033.49","$10,202.08","$927.46","$9,274.62","$10,202.08"
"06/29","$2,350.00","$4,205.82","$6,555.82","$9,506.59","$864.24","$8,642.35","$9,506.59"
"06/30","$2,092.00","$3,763.55","$5,855.55","$8,524.51","$774.96","$7,749.55","$8,524.51"

"Total","$68,219.74","$123,970.51","$192,190.25","$273,572.83","$24,870.26","$248,702.57","$273,572.83"
